image,caption,caption_number,id
15970.jpg ,Checked Navy Blue Shirts for Men with Long Sleeves,0,0
53759.jpg ,Solid Grey Tshirts for Men with Short Sleeves and Polo Collar,0,1
1855.jpg ,Printed Grey Tshirts for Men with Short Sleeves and Round Neck,0,2
30805.jpg ,Striped Green Shirts for Men with Long Sleeves,0,3
26960.jpg ,Solid Purple Shirts for Women with Short Sleeves,0,4
12369.jpg ,Checked Purple Shirts for Men with Long Sleeves,0,5
42419.jpg ,Printed White Tops for Girls with Short Sleeves,0,6
13089.jpg ,Solid Grey Sweatshirts for Men with Long Sleeves,0,7
7990.jpg ,Printed Navy Blue Tshirts for Men with Short Sleeves and Round Neck,0,8
37812.jpg ,Solid Navy Blue Shirts for Men with Long Sleeves,0,9
4729.jpg ,Printed Green Tshirts for Boys with Short Sleeves and Round Neck,0,10
56825.jpg ,Checked Brown Shirts for Men with Short Sleeves,0,11
20099.jpg ,Green Kurtas for Women,0,12
3954.jpg ,Printed Pink Tshirts for Women with Short Sleeves,0,13
28690.jpg ,Beige Kurtas for Women,0,14
8580.jpg ,Grey Waistcoat for Men,0,15
9452.jpg ,Striped Red Shirts for Men with Long Sleeves,0,16
45856.jpg ,Brown Kurtas for Women,0,17
5891.jpg ,Black Tshirts for Men,0,18
38630.jpg ,Solid Purple Tshirts for Women with Short Sleeves and Polo Collar,0,19
4943.jpg ,Checked White Shirts for Men with Short Sleeves,0,20
10866.jpg ,Printed Red Tshirts for Men with Short Sleeves and Round Neck,0,21
15528.jpg ,Printed Black Tshirts for Men with Short Sleeves and Round Neck,0,22
9660.jpg ,Striped Pink Shirts for Men with Long Sleeves,0,23
2288.jpg ,Black Tshirts for Women,0,24
23876.jpg ,Solid Blue Sweatshirts for Men with Long Sleeves,0,25
18237.jpg ,Solid Red Tshirts for Men with Sleeveless and Round Neck,0,26
49653.jpg ,Solid Green Tops for Women with Short Sleeves and Round Neck,0,27
13419.jpg ,Pink Tshirts for Men,0,28
58513.jpg ,Printed Off White Tops for Women with Short Sleeves and V-Neck,0,29
52029.jpg ,Solid Coffee Brown Rain Jacket for Unisex with ,0,30
5865.jpg ,Black Tshirts for Men,0,31
29584.jpg ,Black Tshirts for Men,0,32
34009.jpg ,Solid Black Tops for Girls with Short Sleeves and Round Neck,0,33
9694.jpg ,Striped White Tshirts for Men with Short Sleeves and Polo Collar,0,34
15984.jpg ,Checked Yellow Shirts for Men with Long Sleeves,0,35
59297.jpg ,Checked White Shirts for Men with Long Sleeves,0,36
27846.jpg ,Charcoal Blazers for Women,0,37
54588.jpg ,Green Kurtas for Women,0,38
8322.jpg ,Printed Blue Tshirts for Boys with Short Sleeves and Round Neck,0,39
7158.jpg ,Checked Green Shirts for Men with Long Sleeves,0,40
19547.jpg ,Solid Blue Sweatshirts for Men with Long Sleeves and Round Neck,0,41
7964.jpg ,Printed Black Tshirts for Men with Short Sleeves and Round Neck,0,42
16392.jpg ,Checked Red Shirts for Men with Short Sleeves,0,43
51455.jpg ,Printed Pink Shrug for Women with Short Sleeves,0,44
17240.jpg ,Black Tshirts for Men,0,45
6617.jpg ,Black Shirts for Men,0,46
3365.jpg ,Printed Black Tshirts for Men with Short Sleeves and Round Neck,0,47
10065.jpg ,Printed Yellow Tshirts for Men with Short Sleeves and Round Neck,0,48
5092.jpg ,Striped Purple Tshirts for Men with Short Sleeves and V-Neck,0,49
10859.jpg ,Printed Navy Blue Tshirts for Men with Short Sleeves and Round Neck,0,50
24062.jpg ,Printed Navy Blue Tshirts for Men with Short Sleeves and V-Neck,0,51
11385.jpg ,Solid Black Sweatshirts for Women with Long Sleeves,0,52
22395.jpg ,Striped Blue Shirts for Men with Long Sleeves,0,53
31782.jpg ,Solid Blue Tops for Women with Three-Quarter Sleeves and Mandarin Collar,0,54
12500.jpg ,Printed Black Shirts for Men with Long Sleeves,0,55
30650.jpg ,Printed Black Tshirts for Men with Short Sleeves and Round Neck,0,56
40143.jpg ,Printed Blue Tops for Girls with Sleeveless and Round Neck,0,57
24406.jpg ,Red Kurtas for Women,0,58
21174.jpg ,Striped Beige Tops for Women with Long Sleeves,0,59
14293.jpg ,Striped Blue Tshirts for Men with Short Sleeves and Polo Collar,0,60
6041.jpg ,Navy Blue Tshirts for Men,0,61
23623.jpg ,Printed Pink Tops for Girls with Short Sleeves and Round Neck,0,62
9835.jpg ,Printed Grey Tshirts for Women with Short Sleeves and Round Neck,0,63
27283.jpg ,Magenta Kurtas for Women,0,64
3533.jpg ,Printed Navy Blue Tshirts for Men with Short Sleeves and Round Neck,0,65
12164.jpg ,Orange Dupatta for Women,0,66
3701.jpg ,Printed Black Tshirts for Women with Short Sleeves and Round Neck,0,67
42426.jpg ,Sea Green Kurtas for Women,0,68
10401.jpg ,Checked Purple Tops for Women with Short Sleeves and Shirt Collar,0,69
37223.jpg ,Solid Blue Tops for Women with Sleeveless and Round Neck,0,70
53766.jpg ,Striped White Tshirts for Men with Short Sleeves and Polo Collar,0,71
25520.jpg ,Printed White Tops for Girls with Long Sleeves and Round Neck,0,72
32597.jpg ,Solid Black Tops for Women with Sleeveless and Scoop Neck,0,73
57100.jpg ,Solid Pink Tops for Women with Sleeveless and Round Neck,0,74
50325.jpg ,Navy Blue Kurtas for Women,0,75
16530.jpg ,Checked Red Shirts for Men with Long Sleeves,0,76
7167.jpg ,Checked Purple Shirts for Men with Short Sleeves,0,77
46240.jpg ,White Tunics for Women,0,78
27277.jpg ,Green Kurtas for Women,0,79
6889.jpg ,Cream Jackets for Women,0,80
31312.jpg ,Peach Kurtas for Women,0,81
12190.jpg ,Checked Blue Shirts for Men with Long Sleeves,0,82
19578.jpg ,Solid Purple Tops for Women with No Sleeves and Shoulder Straps,0,83
27879.jpg ,Solid Blue Tops for Women with Three-Quarter Sleeves and Shirt Collar,0,84
6287.jpg ,Yellow Tshirts for Men,0,85
7355.jpg ,Printed Navy Blue Tshirts for Men with Short Sleeves and Round Neck,0,86
43500.jpg ,Printed White Tshirts for Men with Short Sleeves and Round Neck,0,87
13270.jpg ,Printed White Tops for Women with Short Sleeves and Round Neck,0,88
31120.jpg ,Solid Pink Tops for Girls with Short Sleeves and Round Neck,0,89
11527.jpg ,Printed Olive Tshirts for Men with Short Sleeves and Round Neck,0,90
40385.jpg ,Printed Yellow Tops for Women with Short Sleeves,0,91
15187.jpg ,Solid White Tshirts for Men with Short Sleeves and Polo Collar,0,92
14055.jpg ,Checked Green Shirts for Men with Long Sleeves,0,93
20260.jpg ,Navy Blue Tshirts for Men,0,94
28469.jpg ,Pink Tshirts for Women,0,95
34036.jpg ,Checked Blue Shirts for Boys with Short Sleeves,0,96
8779.jpg ,Solid Navy Blue Shirts for Men with Long Sleeves,0,97
2243.jpg ,White Tshirts for Men,0,98
33213.jpg ,Printed Magenta Tops for Women with Short Sleeves and Scoop Neck,0,99
39729.jpg ,Solid Olive Tops for Women with Sleeveless and Scoop Neck,0,100
11143.jpg ,Checked Black Shirts for Men with Long Sleeves,0,101
44341.jpg ,Solid Blue Tshirts for Men with Short Sleeves and Polo Collar,0,102
33021.jpg ,Cream Kurtas for Women,0,103
11371.jpg ,Solid Black Shirts for Men with Long Sleeves,0,104
41401.jpg ,Printed White Tops for Women with Short Sleeves and Round Neck,0,105
4386.jpg ,Printed Grey Tshirts for Men with Short Sleeves and Round Neck,0,106
29789.jpg ,Solid Pink Tshirts for Men with Short Sleeves and Round Neck,0,107
7503.jpg ,Printed Blue Tshirts for Men with Short Sleeves and Round Neck,0,108
13426.jpg ,Red Tshirts for Men,0,109
13846.jpg ,Striped Blue Shirts for Men with Long Sleeves,0,110
46278.jpg ,Striped Red Tunics for Women with Short Sleeves and Round Neck,0,111
19540.jpg ,Blue Sweaters for Men,0,112
7963.jpg ,Printed White Tshirts for Men with Short Sleeves and Round Neck,0,113
15983.jpg ,Solid Burgundy Shirts for Men with Long Sleeves,0,114
20258.jpg ,Striped Brown Tshirts for Men with Short Sleeves,0,115
43538.jpg ,Solid Blue Tops for Women with Sleeveless and V-Neck,0,116
8325.jpg ,Printed Yellow Tshirts for Boys with Short Sleeves and V-Neck,0,117
31118.jpg ,Solid Red Tops for Girls with Short Sleeves and Round Neck,0,118
5862.jpg ,Black Tshirts for Men,0,119
58726.jpg ,Solid Grey Tshirts for Men with Short Sleeves and Polo Collar,0,120
43960.jpg ,Striped Grey Shirts for Men with Long Sleeves,0,121
8741.jpg ,Checked Navy Blue Shirts for Men with Long Sleeves,0,122
22359.jpg ,Checked Blue Shirts for Men with Long Sleeves,0,123
2049.jpg ,Striped White Tshirts for Men with Short Sleeves and Round Neck,0,124
33019.jpg ,Yellow Kurtas for Women,0,125
24892.jpg ,Solid Black Tshirts for Men with Short Sleeves and Polo Collar,0,126
58514.jpg ,Self Design Grey Tops for Women with Short Sleeves and Round Neck,0,127
38637.jpg ,Printed Red Tshirts for Men with Short Sleeves and Round Neck,0,128
4944.jpg ,White Shirts for Men,0,129
10861.jpg ,Printed White Tshirts for Men with Short Sleeves and Round Neck,0,130
17278.jpg ,Printed Grey Tshirts for Men with Short Sleeves and Round Neck,0,131
31588.jpg ,Printed Maroon Tshirts for Men with Short Sleeves and Round Neck,0,132
18230.jpg ,Printed White Tshirts for Men with Short Sleeves and Round Neck,0,133
23871.jpg ,Striped Grey Tshirts for Men with Short Sleeves and Polo Collar,0,134
9667.jpg ,Striped Purple Shirts for Men with Long Sleeves,0,135
3953.jpg ,Printed Red Tshirts for Women with Short Sleeves,0,136
28697.jpg ,Black Kurtas for Women,0,137
8587.jpg ,Checked Red Shirts for Men with Short Sleeves,0,138
42248.jpg ,Printed Pink Tops for Women with Sleeveless,0,139
9455.jpg ,Striped Red Shirts for Men with Long Sleeves,0,140
